"FullName","Length","LastWriteTime"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\vulkan-1.dll","986624","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-af.hyb","72640","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-as.hyb","703","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-be.hyb","6098","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-bg.hyb","3467","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-bn.hyb","703","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-cs.hyb","64245","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-cu.hyb","52842","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-cy.hyb","35913","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-da.hyb","6967","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-de-1901.hyb","121393","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-de-1996.hyb","120412","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-de-ch-1901.hyb","120218","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-el.hyb","4219","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-en-gb.hyb","46607","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-en-us.hyb","59802","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-es.hyb","14995","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-et.hyb","21421","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-eu.hyb","665","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-fr.hyb","8165","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-ga.hyb","35824","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-gl.hyb","9289","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-gu.hyb","655","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-hi.hyb","687","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-hr.hyb","3031","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-hu.hyb","317251","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-hy.hyb","605","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-it.hyb","2512","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-ka.hyb","9996","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-kn.hyb","711","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-la.hyb","1839","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-lt.hyb","7774","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-lv.hyb","38602","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-ml.hyb","776","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-mn-cyrl.hyb","5142","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-mr.hyb","687","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-mul-ethi.hyb","3740","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-nb.hyb","145263","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-nl.hyb","77080","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-nn.hyb","145263","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-or.hyb","647","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-pa.hyb","607","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-pt.hyb","1414","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-ru.hyb","19886","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-sk.hyb","64103","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-sl.hyb","6631","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-sq.hyb","2013","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-sv.hyb","72119","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-ta.hyb","554","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-te.hyb","703","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-tk.hyb","2712","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-uk.hyb","19417","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-und-ethi.hyb","3484","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\manifest.json","77","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\IwaKeyDistribution\iwa-key-distribution.pb","3519","7-9-2026 10:27:11"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\IwaKeyDistribution\manifest.json","113","7-9-2026 10:27:11"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\af_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\af_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\af_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\af.pak","549250","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\am_FEMININE.pak","18","7-9-2026 10:27:13"
