      59ms 11:34:15.044 launched pwsh pid=45840 (Start-Process -WindowStyle Hidden -RedirectStandardOutput)
   13176ms 11:34:28.148 new process pid=13672 exe=conhost.exe ppid=74324 created=13:34:28.0565217 path=C:\Windows\System32\conhost.exe
   13338ms 11:34:28.310 new process pid=54968 exe=conhost.exe ppid=57160 created=13:34:28.2788889 path=C:\Windows\System32\conhost.exe
   13339ms 11:34:28.311 new process pid=95804 exe=conhost.exe ppid=82440 created=13:34:28.2929097 path=C:\Windows\System32\conhost.exe
   13487ms 11:34:28.459 new process pid=92156 exe=conhost.exe ppid=72260 created=13:34:28.3565276 path=C:\Windows\System32\conhost.exe
   13488ms 11:34:28.460 new process pid=96808 exe=conhost.exe ppid=66112 created=13:34:28.3736044 path=C:\Windows\System32\conhost.exe
   13652ms 11:34:28.623 new process pid=86744 exe=conhost.exe ppid=75756 created=13:34:28.4542423 path=C:\Windows\System32\conhost.exe
   14355ms 11:34:29.326 new process pid=75600 exe=conhost.exe ppid=69692 created=13:34:29.2845470 path=C:\Windows\System32\conhost.exe
   14672ms 11:34:29.644 new process pid=36480 exe=conhost.exe ppid=62640 created=13:34:29.5950697 path=C:\Windows\System32\conhost.exe
   14673ms 11:34:29.645 new process pid=73628 exe=conhost.exe ppid=63968 created=13:34:29.5986176 path=C:\Windows\System32\conhost.exe
   14674ms 11:34:29.646 new process pid=21812 exe=conhost.exe ppid=82476 created=13:34:29.6019571 path=C:\Windows\System32\conhost.exe
   15117ms 11:34:30.088 new process pid=80588 exe=conhost.exe ppid=76980 created=13:34:30.0600121 path=C:\Windows\System32\conhost.exe
   15117ms 11:34:30.089 new process pid=68940 exe=conhost.exe ppid=78316 created=13:34:30.0638797 path=C:\Windows\System32\conhost.exe
   15426ms 11:34:30.397 new process pid=21440 exe=conhost.exe ppid=82304 created=13:34:30.3113736 path=C:\Windows\System32\conhost.exe
   15427ms 11:34:30.398 new process pid=64844 exe=conhost.exe ppid=68544 created=13:34:30.3696762 path=C:\Windows\System32\conhost.exe
   15601ms 11:34:30.573 new process pid=87740 exe=conhost.exe ppid=80460 created=13:34:30.4376141 path=C:\Windows\System32\conhost.exe
   15603ms 11:34:30.574 new process pid=64708 exe=conhost.exe ppid=67328 created=13:34:30.5203531 path=C:\Windows\System32\conhost.exe
   15604ms 11:34:30.576 new process pid=46280 exe=conhost.exe ppid=56248 created=13:34:30.5371338 path=C:\Windows\System32\conhost.exe
   16076ms 11:34:31.047 new process pid=81584 exe=conhost.exe ppid=79436 created=13:34:30.9661231 path=C:\Windows\System32\conhost.exe
   16223ms 11:34:31.194 new process pid=73480 exe=conhost.exe ppid=7008 created=13:34:31.1783676 path=C:\Windows\System32\conhost.exe
   16516ms 11:34:31.488 new process pid=55408 exe=conhost.exe ppid=93700 created=13:34:31.4280605 path=C:\Windows\System32\conhost.exe
   16517ms 11:34:31.489 new process pid=81368 exe=conhost.exe ppid=32376 created=13:34:31.4530765 path=C:\Windows\System32\conhost.exe
   16670ms 11:34:31.642 new process pid=100056 exe=conhost.exe ppid=98256 created=13:34:31.5795162 path=C:\Windows\System32\conhost.exe
   16671ms 11:34:31.643 new process pid=2620 exe=conhost.exe ppid=66272 created=13:34:31.6194494 path=C:\Windows\System32\conhost.exe
   16955ms 11:34:31.927 new process pid=81544 exe=conhost.exe ppid=86112 created=13:34:31.9027839 path=C:\Windows\System32\conhost.exe
   17107ms 11:34:32.079 new process pid=91200 exe=conhost.exe ppid=94496 created=13:34:32.0108111 path=C:\Windows\System32\conhost.exe
   17684ms 11:34:32.656 new process pid=64520 exe=conhost.exe ppid=90580 created=13:34:32.5964675 path=C:\Windows\System32\conhost.exe
   17829ms 11:34:32.800 new process pid=78272 exe=conhost.exe ppid=13176 created=13:34:32.7017092 path=C:\Windows\System32\conhost.exe
   18422ms 11:34:33.393 new process pid=38800 exe=conhost.exe ppid=88512 created=13:34:33.3135159 path=C:\Windows\System32\conhost.exe
   18703ms 11:34:33.675 new process pid=75908 exe=conhost.exe ppid=74340 created=13:34:33.5791827 path=C:\Windows\System32\conhost.exe
   18704ms 11:34:33.676 new process pid=18496 exe=conhost.exe ppid=98076 created=13:34:33.5970677 path=C:\Windows\System32\conhost.exe
   19836ms 11:34:34.807 new process pid=89548 exe=conhost.exe ppid=86784 created=13:34:34.7646995 path=C:\Windows\System32\conhost.exe
   20532ms 11:34:35.504 new process pid=30540 exe=conhost.exe ppid=85060 created=13:34:35.4477641 path=C:\Windows\System32\conhost.exe
   20811ms 11:34:35.783 new process pid=93332 exe=conhost.exe ppid=67632 created=13:34:35.7160119 path=C:\Windows\System32\conhost.exe
   22057ms 11:34:37.028 new process pid=77652 exe=conhost.exe ppid=61048 created=13:34:36.9540744 path=C:\Windows\System32\conhost.exe
   22058ms 11:34:37.029 new process pid=84556 exe=conhost.exe ppid=82116 created=13:34:36.9827416 path=C:\Windows\System32\conhost.exe
   22614ms 11:34:37.586 new process pid=83996 exe=conhost.exe ppid=97468 created=13:34:37.5638457 path=C:\Windows\System32\conhost.exe
   22896ms 11:34:37.867 new process pid=91900 exe=conhost.exe ppid=18568 created=13:34:37.7922281 path=C:\Windows\System32\conhost.exe
   22897ms 11:34:37.868 new process pid=96472 exe=conhost.exe ppid=98660 created=13:34:37.8350373 path=C:\Windows\System32\conhost.exe
   23014ms 11:34:37.986 pwsh exited=True code=0
   23031ms 11:34:38.002 visible windows seen for watched pids: 0
   23032ms 11:34:38.003 DONE
